content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
,,,,,,,https://video.kompas.com/watch/1710717/konflik-di-kawasan-terus-terjadi-pm-irak-dk-pbb-gagal-capai-tujuan
,,,,,,,https://video.kompas.com/watch/1708714/menlu-retno-marsudi-ungkap-tahun-ini-palestina-duduk-sejajar-dengan-anggota-pbb
,,,,,,,https://video.kompas.com/watch/1708697/pm-palestina-beri-sinyal-hamas-dan-fatah-akan-bertemu-di-kairo
,,,,,,,https://video.kompas.com/watch/1708576/sidang-majelis-umum-pbb-palestina-dapat-kursi-pidato-biden-ditentang-indonesia-bersuara
,,,,,,,https://video.kompas.com/watch/1708564/erdogan-seperti-hitler-kekejaman-netanyahu-harus-dihentikan
,,,,,,,https://video.kompas.com/watch/1708175/raja-yordania-bendera-pbb-tak-berdaya-lindungi-warga-gaza-dari-serangan-israel
2024-09-25 14:00:00,Inten Esti Pratiwi,Kompas.com,"Palestina, Retno Marsudi , palestina duduk di sidang majelis umum pbb, palestina di sidang majelis umum pbb, kursi palestina di sidang majelis umum pbb",Menlu RI: Mulai Tahun Ini Palestina Duduk Sejajar dengan Anggota di Sidang Majelis Umum PBB - Kompas.com,714,Standard,http://www.kompas.com/tren/read/2024/09/25/140000265/menlu-ri--mulai-tahun-ini-palestina-duduk-sejajar-dengan-anggota-di-sidang
2024-09-25 13:37:43,Ihsanuddin,Kompas.com,"perang Israel Lebanon, Mengapa Israel Menyerang Lebanon, Israel Menyerang Lebanon, Dampak Israel Menyerang Lebanon, WNI Lebanon, serangan ke Lebanon","Situasi Timur Tengah Memanas, Kemenlu Minta WNI Tak Pergi ke Lebanon, Israel, Iran dan Palestina - Kompas.com",288,Standard,http://nasional.kompas.com/read/2024/09/25/13374331/situasi-timur-tengah-memanas-kemenlu-minta-wni-tak-pergi-ke-lebanon-israel
,,,,,,,https://video.kompas.com/watch/1707262/klaim-israel-lakukan-genosida-pm-palestina-rakyat-alami-babak-paling-kelam
,,,,,,,https://video.kompas.com/watch/1707204/tuduh-nasrallah-bikin-malapetaka-netanyahu-berambisi-terus-serang-hizbullah
,,,,,,,https://video.kompas.com/watch/1707157/china-terkejut-soal-meluasnya-konflik-lebanon-israel
,,,,,,,https://video.kompas.com/watch/1706896/israel-klaim-hizbullah-telah-tembakkan-9000-roket-dan-rudal
