content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
"8 Januari 2024, 17:22 WIB",unknown,Kompas.com,unknown,Israel Targetkan RS Martir Al-Aqsa dengan Serangan Drone,unknown,Video,https://video.kompas.com/watch/1148523/israel-targetkan-rs-martir-al-aqsa-dengan-serangan-drone
"8 Januari 2024, 16:37 WIB",unknown,Kompas.com,unknown,AS Minta Israel Akhiri Fase Perang di Gaza,unknown,Video,https://video.kompas.com/watch/1148486/as-minta-israel-akhiri-fase-perang-di-gaza
2024-01-08 16:37:00,Albertus Adit,Kompas.com,"Hezbollah, Palestina, Houthi Yaman, Perang Israel-Hamas","Konflik Makin Meluas, Imbas Perang Israel-Hamas di Gaza - Kompas.com",524,Standard,http://www.kompas.com/global/read/2024/01/08/163700370/konflik-makin-meluas-imbas-perang-israel-hamas-di-gaza
2024-01-08 16:06:01,Icha Rastika,Kompas.com,"Palestina, Menlu RI","Soroti Standar Ganda Negara Maju untuk Palestina, Menlu: Ke Mana Kuliah Mereka tentang HAM?  - Kompas.com",330,Standard,http://nasional.kompas.com/read/2024/01/08/16060191/soroti-standar-ganda-negara-maju-untuk-palestina-menlu-ke-mana-kuliah-mereka
"8 Januari 2024, 15:50 WIB",Novyana Nurmita Dewi,Kompas.com,unknown,Militer Israel Jarah Uang dan Emas di Jalur Gaza,unknown,Video,https://video.kompas.com/watch/1148282/militer-israel-jarah-uang-dan-emas-di-jalur-gaza
"8 Januari 2024, 15:31 WIB",Arini Kusuma Jati,Kompas.com,unknown,"Kutuk Menteri Israel, Menlu AS: Warga Palestina Tak Boleh Dipaksa Tinggalkan Gaza",unknown,Video,https://video.kompas.com/watch/1148194/kutuk-menteri-israel-menlu-as-warga-palestina-tak-boleh-dipaksa-tinggalkan-gaza
2024-01-08 14:57:35,Mikhael Gewati,Kompas.com,"Menlu Retno Marsudi, Pernyataan Pers Menteri Luar Negeri (PPTM) 2024, Indonesia Konsisten Perjuangkan Kemerdekaan Palestina",Menlu Retno: Indonesia Konsisten Perjuangkan Hak dan Kemerdekaan Palestina - Kompas.com,286,Standard,http://nasional.kompas.com/read/2024/01/08/14573511/menlu-retno-indonesia-konsisten-perjuangkan-hak-dan-kemerdekaan-palestina
"8 Januari 2024, 14:39 WIB",Bernadetha Nadia Deni Ananda,Kompas.com,unknown,"Menlu Jerman Minta Israel Mikir: Gaza Milik Palestina, Tak Boleh Diusir",unknown,Video,https://video.kompas.com/watch/1148040/menlu-jerman-minta-israel-mikir-gaza-milik-palestina-tak-boleh-diusir
2024-01-08 14:00:00,Mahardini Nur Afifah,Kompas.com,"debat ketiga, anies baswedan, ganjar pranowo, anies-muhaimin, Ganjar-Mahfud, prabowo-gibran, Sikap Anies, Ganjar, dan Prabowo soal Palestina","Beda Sikap Anies, Ganjar, Prabowo soal Palestina di Debat Ketiga Pilpres 2024 - Kompas.com",533,Standard,http://www.kompas.com/tren/read/2024/01/08/140000065/beda-sikap-anies-ganjar-prabowo-soal-palestina-di-debat-ketiga-pilpres-2024
"8 Januari 2024, 13:36 WIB",unknown,Kompas.com,unknown,"Blinken Tur ke Timur Tengah, Hamas Tegaskan AS Perlu Bercermin Dukung Israel",unknown,Video,https://video.kompas.com/watch/1147816/blinken-tur-ke-timur-tengah-hamas-tegaskan-as-perlu-bercermin-dukung-israel
2024-01-08 13:15:00,Albertus Adit,Kompas.com,"Palestina, Antony Blinken, Perang Israel-Hamas, gaza",Menlu AS: Warga Palestina Harus Bisa Tinggal di Gaza - Kompas.com,398,Standard,http://www.kompas.com/global/read/2024/01/08/131500970/menlu-as--warga-palestina-harus-bisa-tinggal-di-gaza
"8 Januari 2024, 11:19 WIB",unknown,Kompas.com,unknown,"Prabowo Sebut Gaza Ditindas karena Tak Punya Kekuatan Militer, Benarkah?",unknown,Video,https://video.kompas.com/watch/1147219/prabowo-sebut-gaza-ditindas-karena-tak-punya-kekuatan-militer-benarkah
"8 Januari 2024, 09:56 WIB",Arini Kusuma Jati,Kompas.com,unknown,Israel Bongkar Struktur Militer Hamas di Gaza Utara,unknown,Video,https://video.kompas.com/watch/1147054/israel-bongkar-struktur-militer-hamas-di-gaza-utara
"8 Januari 2024, 09:11 WIB",unknown,Kompas.com,unknown,Beda Pendapat Staf Gedung Putih soal Konflik Gaza Kian Meruncing,unknown,Video,https://video.kompas.com/watch/1146938/beda-pendapat-staf-gedung-putih-soal-konflik-gaza-kian-meruncing
"8 Januari 2024, 09:01 WIB",Novyana Nurmita Dewi,Kompas.com,unknown,Militer Israel Disebut Jarah Uang dan Emas di Jalur Gaza,unknown,Video,https://video.kompas.com/watch/1146937/militer-israel-disebut-jarah-uang-dan-emas-di-jalur-gaza
