content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
"18 Oktober 2023, 12:15 WIB",unknown,Kompas.com,unknown,"RS di Gaza Diserang, Presiden Palestina Langsung Batalkan Pertemuan dengan Biden",unknown,Video,https://video.kompas.com/watch/961575/rs-di-gaza-diserang-presiden-palestina-langsung-batalkan-pertemuan-dengan-biden
"18 Oktober 2023, 11:44 WIB",unknown,Kompas.com,unknown,"Israel Klaim Lenyapkan 7 Komandan Hamas, Siapa Saja?",unknown,Video,https://video.kompas.com/watch/961560/israel-klaim-lenyapkan-7-komandan-hamas-siapa-saja
"18 Oktober 2023, 11:28 WIB",Adinda Septia Berliana,Kompas.com,unknown,Detik-detik Joe Biden Berangkat dari Washington ke Israel,unknown,Video,https://video.kompas.com/watch/961426/detik-detik-joe-biden-berangkat-dari-washington-ke-israel
"18 Oktober 2023, 11:24 WIB",unknown,Kompas.com,unknown,"Menteri Pertahanan Israel Ultimatum Hamas, Hanya Sediakan 2 Pilihan",unknown,Video,https://video.kompas.com/watch/961393/menteri-pertahanan-israel-ultimatum-hamas-hanya-sediakan-2-pilihan
"18 Oktober 2023, 11:20 WIB",unknown,Kompas.com,unknown,Momen Iron Dome Kerja Keras Saat Sirene Meraung di Israel,unknown,Video,https://video.kompas.com/watch/961390/momen-iron-dome-kerja-keras-saat-sirene-meraung-di-israel
2023-10-18 11:15:35,Firzie A. Idris,Kompas.com,"Palestina, Jerman, mainz 05, Anwar El Ghazi, El Ghazi","Mendukung Palestina, Anwar El Ghazi Dibekukan Klub Jerman - Kompas.com",361,Standard,http://bola.kompas.com/read/2023/10/18/11153588/mendukung-palestina-anwar-el-ghazi-dibekukan-klub-jerman
"18 Oktober 2023, 10:24 WIB",unknown,Kompas.com,unknown,"Israel Bantah Serang Rumah Sakit, Tuding Roket dari Gaza Penyebabnya",unknown,Video,https://video.kompas.com/watch/961228/israel-bantah-serang-rumah-sakit-tuding-roket-dari-gaza-penyebabnya
"18 Oktober 2023, 10:08 WIB",unknown,Kompas.com,unknown,"Hizbullah Serang Israel dengan Rudal Anti-tank, Tentara IDF Jadi Korban",unknown,Video,https://video.kompas.com/watch/961226/hizbullah-serang-israel-dengan-rudal-anti-tank-tentara-idf-jadi-korban
"18 Oktober 2023, 09:16 WIB",unknown,Kompas.com,unknown,"RS di Gaza Diserang, Ratusan Warga Palestina Tewas",unknown,Video,https://video.kompas.com/watch/961086/rs-di-gaza-diserang-ratusan-warga-palestina-tewas
2023-10-18 08:40:03,Irawan Sapto Adhi,Kompas.com,"militer Israel, Jihad Islam Palestina, Rumah Sakit di Gaza, RS di Gaza, serangan RS Gaza, serangan rumah sakit di Gaza",Saling Tuding Pelaku Serangan Rumah Sakit di Gaza - Kompas.com,343,Standard,http://www.kompas.com/global/read/2023/10/18/084003670/saling-tuding-pelaku-serangan-rumah-sakit-di-gaza
"18 Oktober 2023, 08:28 WIB",Adinda Septia Berliana,Kompas.com,unknown,"Putin Telepon Netanyahu, Pertama Kali Sejak Perang Hamas vs Israel",unknown,Video,https://video.kompas.com/watch/961038/putin-telepon-netanyahu-pertama-kali-sejak-perang-hamas-vs-israel
"17 Oktober 2023, 20:42 WIB",unknown,Kompas.com,unknown,Cara Kelompok Hizbullah Cegah Israel Pantau Pergerakan di Perbatasan,unknown,Video,https://video.kompas.com/watch/960613/cara-kelompok-hizbullah-cegah-israel-pantau-pergerakan-di-perbatasan
