;content_title
0;Pejabat Senior Hamas Tewas Usai Serangan Drone Israel di Lebanon
1;Israel Bakal Bela Diri di Kasus Kejahatan Genosida
2;Momen Militer Israel Temukan Berbagai Senjata Tersembunyi di Sekolah Gaza
3;Ribuan Warga Palestina Kembali ke Gaza Utara Usai Israel Tarik Pasukan
4;Terperangkap Dalam Perang, Ini yang Dilakukan Warga Gaza di Pengungsian
5;Yaman Bersumpah Akan Balas AS Usai 10 Tentaranya Dibunuh
6;Perang Terus Berkecamuk di Gaza Setelah Israel Janji Tarik Ribuan Pasukannya
7;Militer Israel Klaim Kuasai Kediaman Komandan Hamas, Temukan Senjata dan Data Intelijen
8;Militer Israel Klaim Jet Tempurnya Serang Infrastruktur Hizbullah di Lebanon
9;Israel Digugat Warganya yang Selamat dari Serangan Hamas 7 Oktober 202
10;Palestina Marah Mantan PM Inggris Disebut Ikut Campur Bujuk Negara Barat Terima Warga Gaza
11;Penampakan Jalur Gaza Usai Israel Umumkan Penarikan Pasukannya
12;Juru Nego Houthi ke Teheran, Iran Sanjung Houthi karena Tekadnya Bela Palestina
13;Penampakan Langit Gaza yang Lebih Tenang Usai Israel Tarik Pasukan
14;Iran Tuding AS dan Inggris Bikin Laut Merah Tak Stabil gara-gara Serang Houthi
15;Jumlah Korban Tewas di Gaza Hampir Tembus 22.000 Orang, Warga Kesulitan Dapat Makanan
16;Nestapa Warga Palestina Lewati Pergantian Tahun di Pengungsian Gaza
17;Netanyahu Kecam Afrika Selatan karena Laporkan Israel Terkait Genosida
18;Serangan Israel Tewaskan Eks Menteri Agama Palestina Youssef Salama
19;Palestina Sebut Tak Ada Perdamaian jika Pendudukan Israel Berlanjut
20;Detik-detik Rentetan Roket Meluncur dari Jalur Gaza ke Israel Usai Tahun Baru
21;3 Kapalnya Diserang AS, Houthi Tantang Balik Amerika
22;Roket dari Jalur Gaza Dicegat Israel Saat Tengah Malam Jelang Tahun Baru
23;Detik-detik Jet Tempur Israel Hantam Lebanon Selatan
24;Serangan Israel Tewaskan Mantan Menteri Palestina   
25;Jet Tempur Israel Hantam Lebanon Selatan
26;Netanyahu Sebut Perbatasan Gaza-Mesir Harus di Bawah Kontrol Israel
27;Bayi di Gaza Ditemukan Selamat Setelah Semalam Terjebak Reruntuhan   
28;Bersumpah Pulangkan Semua Sandera, Netanyahu Sebut Perang Gaza Terus Berlanjut
29;Israel Batasi Akses ke Masjid Al Aqsa, Jemaah Shalat Jumat di Jalanan
30;Lelang Karya Chiki Fawzi untuk Palestina Tembus Rp 5 Juta di SOH X Sitapa Fest   
31;Detik-detik Israel Kembali Hancurkan Terowongan yang Diduga Milik Hamas
32;Listrik Langka, Penjahit di Gaza Gunakan Tenaga Kerja Manual untuk Operasikan Mesin
33;Israel Kembali Bombardir Rafah, Gaza Bagian Selatan
34;Jumlah Anak Palestina yang Tewas di Tepi Barat Meningkat Drastis
35;Rafah Jadi Target Serangan, Warga Tuding Israel Bohong soal Tempat Aman
36;Israel Tembaki Kendaraan Konvoi Bantuan di Jalur Gaza
37;PBB Ungkap Tentara Israel Menembaki Konvoi Bantuan Gaza
38;Perang Israel-Hamas Usir 85 Persen Warga Palestina dari Rumah Mereka
39;Serangan Drone Israel Tewaskan 6 Warga Palestina di Tepi Barat
