article_link,article_title
https://www.cnbcindonesia.com/news/20240108181024-4-503878/pemerintah-buka-bukaan-ri-masih-punya-utang-ke-palestina-apa,"Pemerintah Buka-bukaan RI Masih Punya Utang ke Palestina, Apa?"
https://www.cnbcindonesia.com/news/20240108152059-4-503817/info-bocor-intelijen-as-nilai-israel-tak-akan-menang-lawan-hizbullah,"Info Bocor, Intelijen AS Nilai Israel Tak Akan Menang Lawan Hizbullah"
https://www.cnbcindonesia.com/news/20240108131955-4-503758/konflik-israel-hamas-seret-negara-timur-tengah-bukti-perang-dunia-3,"Konflik Israel-Hamas Seret Negara Timur Tengah, Bukti Perang Dunia 3?"
https://www.cnbcindonesia.com/news/20240108101418-4-503663/6-update-baru-gaza-israel-mulai-mundur-as-kini-ketar-ketir,6 Update Baru Gaza: Israel Mulai Mundur-AS Kini Ketar-ketir
https://www.cnbcindonesia.com/news/20240108081650-8-503622/video-lagi-serangan-udara-israel-tewaskan-2-jurnalis,"Video: Lagi, Serangan Udara Israel Tewaskan 2 Jurnalis"
https://www.cnbcindonesia.com/news/20240107193442-4-503407/ganjar-pro-kemerdekaan-palestina,Ganjar Pro Kemerdekaan Palestina!
https://www.cnbcindonesia.com/news/20240106204641-4-503302/6-update-perang-di-gaza-hizbullah-incar-israel-as-mulai-diplomasi,"6 Update Perang di Gaza: Hizbullah Incar Israel, AS Mulai Diplomasi"
https://www.cnbcindonesia.com/news/20240106110710-8-503234/perang-membuat-anak-anak-wanita-hamil-di-gaza-terancam-gizi-buruk,Perang Membuat Anak-anak & Wanita Hamil di Gaza Terancam Gizi Buruk
https://www.cnbcindonesia.com/news/20240106090804-8-503221/pengungsi-gaza-hadapi-musim-dingin-tanpa-rumah-makanan-pakaian,"Pengungsi Gaza Hadapi Musim Dingin Tanpa Rumah, Makanan & Pakaian"
https://www.cnbcindonesia.com/news/20240105213414-4-503195/5-update-perang-gaza-rencana-israel-terkuak-muncul-kiamat-baru,5 Update Perang Gaza: Rencana Israel Terkuak-Muncul 'Kiamat' Baru
https://www.cnbcindonesia.com/news/20240105120739-4-503027/menhan-israel-bocorkan-rencana-terbaru-di-gaza-sebut-pengganti-hamas,"Menhan Israel Bocorkan Rencana Terbaru di Gaza, Sebut Pengganti Hamas"
https://www.cnbcindonesia.com/news/20240105081303-8-502928/video-pbb-murka-israel-berencana-usir-warga-palestina,"VideO: PBB Murka Israel Berencana ""Usir"" Warga Palestina"
https://www.cnbcindonesia.com/news/20240105081139-8-502927/video-israel-semakin-serius-usir-warga-gaza-ke-luar-negeri,"Video: Israel Semakin Serius ""Usir"" Warga Gaza Ke Luar Negeri"
https://www.cnbcindonesia.com/news/20240104205128-7-502882/detik-detik-penembakan-maut-imam-masjid-di-new-york-as,Detik-Detik Penembakan Maut Imam Masjid di New York AS
https://www.cnbcindonesia.com/news/20240104204705-4-502881/7-update-gaza-israel-menggila-bunuh-warga-palestina-hizbullah,"7 Update Gaza: Israel Menggila, Bunuh Warga Palestina & Hizbullah"
https://www.cnbcindonesia.com/news/20240104075220-8-502614/video-as-prancis-kecam-israel-karena-ingin-usir-warga-gaza,Video: AS & Prancis Kecam Israel Karena Ingin Usir Warga Gaza
https://www.cnbcindonesia.com/news/20240103201550-4-502561/7-update-gaza-kelaparan-merajalela-israel-lagi-dag-dig-dug,7 Update Gaza: Kelaparan Merajalela-Israel Lagi Dag Dig Dug
https://www.cnbcindonesia.com/news/20240103100218-7-502294/detik-detik-rudal-israel-tembus-lebanon-bunuh-bos-hamas,"Detik-Detik Rudal Israel Tembus Lebanon, Bunuh Bos Hamas"
https://www.cnbcindonesia.com/news/20240103124147-8-502393/video-tiga-bulan-perang-korban-di-gaza-tembus-22185-jiwa,"Video: Tiga Bulan Perang, Korban di Gaza Tembus 22.185 Jiwa"
