article_link,date_time,article_title
https://news.detik.com/internasional/d-6971896/6-fakta-terkini-panas-israel-vs-hamas,08 Okt 2023 21:07 WIB,6 Fakta Terkini Panas Israel Vs Hamas
https://news.detik.com/detiktv/d-6971822/suasana-mencekam-gaza-seusai-ketegangan-dengan-israel-meningkat,08 Okt 2023 20:27 WIB,Suasana Mencekam Gaza Seusai Ketegangan dengan Israel Meningkat
https://sport.detik.com/sepakbola/gila-bola/d-6971621/dukungan-suporter-celtic-ke-palestina-yang-digempur-israel,08 Okt 2023 19:30 WIB,Dukungan Suporter Celtic ke Palestina yang Digempur Israel
https://news.detik.com/internasional/d-6971542/israel-akan-evakuasi-warga-sekitar-gaza-dalam-24-jam,08 Okt 2023 17:37 WIB,Israel Akan Evakuasi Warga Sekitar Gaza dalam 24 Jam
https://news.detik.com/internasional/d-6971473/bertambah-warga-palestina-yang-tewas-akibat-serangan-israel-jadi-313-orang,08 Okt 2023 16:58 WIB,"Bertambah, Warga Palestina yang Tewas Akibat Serangan Israel Jadi 313 Orang"
https://oto.detik.com/berita/d-6971421/spesifikasi-tank-canggih-merkava-israel-yang-rontok-digranat-drone-hamas,08 Okt 2023 16:21 WIB,Spesifikasi Tank Canggih Merkava Israel yang Rontok Digranat Drone Hamas
https://news.detik.com/internasional/d-6971395/remaja-palestina-usia-13-tahun-tewas-ditembak-tentara-israel,08 Okt 2023 16:00 WIB,Remaja Palestina Usia 13 Tahun Tewas Ditembak Tentara Israel
https://news.detik.com/internasional/d-6971318/militer-israel-sebut-26-tentaranya-tewas-akibat-serangan-hamas,08 Okt 2023 15:07 WIB,Militer Israel Sebut 26 Tentaranya Tewas Akibat Serangan Hamas
https://news.detik.com/internasional/d-6971092/perang-hamas-vs-israel-faa-amerika-minta-pilot-berhati-hati,08 Okt 2023 12:14 WIB,"Perang Hamas Vs Israel, FAA Amerika Minta Pilot Berhati-hati"
https://news.detik.com/foto-news/d-6971035/penampakan-roket-yang-ditembakkan-hamas-ke-israel,08 Okt 2023 12:05 WIB,Penampakan Roket yang Ditembakkan Hamas ke Israel
https://news.detik.com/internasional/d-6971001/prihatin-ketegangan-palestina-israel-china-minta-hentikan-tembakan,08 Okt 2023 11:02 WIB,"Prihatin Ketegangan Palestina-Israel, China Minta Hentikan Tembakan"
https://news.detik.com/berita/d-6970877/kemlu-indonesia-prihatin-meningkatnya-eskalasi-konflik-palestina-israel,08 Okt 2023 08:46 WIB,Kemlu: Indonesia Prihatin Meningkatnya Eskalasi Konflik Palestina-Israel
https://news.detik.com/internasional/d-6970804/korban-serangan-hamas-di-israel-lebih-dari-200-orang-tewas-1-000-terluka,08 Okt 2023 05:46 WIB,Korban Serangan Hamas di Israel: Lebih dari 200 Orang Tewas-1.000 Terluka
https://news.detik.com/berita/d-6970797/kbri-amman-soal-hamas-vs-israel-sejauh-ini-tak-ada-wni-jadi-korban,08 Okt 2023 04:49 WIB,KBRI Amman soal Hamas Vs Israel: Sejauh Ini Tak Ada WNI Jadi Korban
https://news.detik.com/internasional/d-6970764/198-orang-di-gaza-tewas-akibat-serangan-balik-israel-ribuan-terluka,08 Okt 2023 00:51 WIB,"198 Orang di Gaza Tewas Akibat Serangan Balik Israel, Ribuan Terluka"
https://news.detik.com/internasional/d-6970512/6-fakta-dampak-hamas-vs-israel-40-orang-tewas-rs-indonesia-kena-serang,07 Okt 2023 20:07 WIB,6 Fakta Dampak Hamas Vs Israel: 40 Orang Tewas-RS Indonesia Kena Serang
https://news.detik.com/internasional/d-6970460/perang-hamas-vs-israel-rusia-serukan-gencatan-senjata,07 Okt 2023 19:18 WIB,"Perang Hamas Vs Israel, Rusia Serukan Gencatan Senjata!"
https://news.detik.com/internasional/d-6970303/perang-hamas-vs-israel-pecah-rusia-desak-semua-pihak-menahan-diri,07 Okt 2023 17:27 WIB,"Perang Hamas Vs Israel Pecah, Rusia Desak Semua Pihak Menahan Diri"
https://news.detik.com/internasional/d-6970244/militer-israel-mulai-operasi-skala-besar-perangi-hamas,07 Okt 2023 16:37 WIB,Militer Israel Mulai Operasi Skala Besar Perangi Hamas!
https://news.detik.com/internasional/d-6969939/panas-5-000-roket-ditembakkan-dari-gaza-ke-israel,07 Okt 2023 12:57 WIB,Panas! 5.000 Roket Ditembakkan dari Gaza ke Israel
