content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
2024-12-28 18:39:00,Albertus Adit,Kompas.com,"Palestina, Hamas, Gaza, militer Israel","RS Terakhir di Gaza Utara Berhenti Beroperasi akibat Serangan Israel, 60 Petugas Kesehatan dan 25 Pasien Kritis - Kompas.com",398,Standard,http://internasional.kompas.com/read/2024/12/28/183900570/rs-terakhir-di-gaza-utara-berhenti-beroperasi-akibat-serangan-israel
2024-12-28 17:00:00,Resa Eka Ayu Sartika,Kompas.com,"Israel, Wartawan, Gaza, jurnalis, wartawan palestina terbunuh, israel serang wartawan",Lima Wartawan Tewas di Dalam Mobil Pers Saat Militer Israel Serang Gaza Tengah - Kompas.com,402,Standard,http://www.kompas.com/tren/read/2024/12/28/170000265/lima-wartawan-tewas-di-dalam-mobil-pers-saat-militer-israel-serang-gaza
2024-12-22 19:17:00,Albertus Adit,Kompas.com,"Palestina, kelompok bersenjata, Gaza, serangan israel, Perang Israel-Hamas",Kelompok Bersenjata Palestina: Kesepakatan Mengakhiri Perang Sudah Dekat - Kompas.com,484,Standard,http://internasional.kompas.com/read/2024/12/22/191700970/kelompok-bersenjata-palestina--kesepakatan-mengakhiri-perang-sudah
2024-12-20 14:51:54,Bagus Santosa,Kompas.com,"ktt d-8, dukungan Palestina, Prabowo Subianto, persatuan negara Muslim","Di KTT D-8, Prabowo Ajak Negara Muslim Bersatu dan Tidak Terpecah Belah - Kompas.com",291,Standard,http://nasional.kompas.com/read/2024/12/20/14515491/di-ktt-d-8-prabowo-ajak-negara-muslim-bersatu-dan-tidak-terpecah-belah
2024-12-20 13:31:31,Bagus Santosa,Kompas.com,"ktt d-8, Prabowo Subianto, konflik negara Muslim, dukungan untuk Palestina",Prabowo Soroti Banyak Negara Muslim Dukung Palestina tapi Saling Bertengkar - Kompas.com,341,Standard,http://nasional.kompas.com/read/2024/12/20/13313191/prabowo-soroti-banyak-negara-muslim-dukung-palestina-tapi-saling-bertengkar
2024-12-20 07:07:00,Albertus Adit,Kompas.com,"Palestina, Gaza, serangan israel, gencatan senjata di Gaza, perang di gaza","Serangan Israel Targetkan Hamas di Gaza, 30 Warga Palestina Tewas - Kompas.com",365,Standard,http://internasional.kompas.com/read/2024/12/20/070700670/serangan-israel-targetkan-hamas-di-gaza-30-warga-palestina-tewas
2024-12-19 21:37:00,Albertus Adit,Kompas.com,"Israel, Palestina, Hamas, genosida, Gaza",Israel Dituduh Lakukan Genosida dan Pembersihan Etnis di Gaza - Kompas.com,489,Standard,http://internasional.kompas.com/read/2024/12/19/213700670/israel-dituduh-lakukan-genosida-dan-pembersihan-etnis-di-gaza
2024-12-19 20:59:26,Dani Prabowo,Kompas.com,"Prabowo, KTT D8","Bicara ke Negara D-8, Prabowo: Kalau Lemah, Bagaimana Bisa Mendukung Palestina? - Kompas.com",373,Standard,http://nasional.kompas.com/read/2024/12/19/20592661/bicara-ke-negara-d-8-prabowo-kalau-lemah-bagaimana-bisa-mendukung-palestina
2024-12-19 19:42:28,Dani Prabowo,Kompas.com,"Prabowo, KTT D-8","Prabowo Hadiri KTT D-8, Bakal Bahas Situasi di Palestina hingga Lebanon - Kompas.com",262,Standard,http://nasional.kompas.com/read/2024/12/19/19422801/prabowo-hadiri-ktt-d-8-bakal-bahas-situasi-di-palestina-hingga-lebanon
2024-12-19 06:29:51,Ihsanuddin,Kompas.com,"prabowo kunjungan ke mesir, Prabowo hadiri KTT D-8, Prabowo tiba di Kairo Mesir, Prabowo disambut upacara kenegaraan di Mesir, prabowo bertemu presiden mesir","Prabowo dan Presiden Mesir Serukan Gencatan Senjata di Palestina, Dorong Perdamaian - Kompas.com",220,Standard,http://nasional.kompas.com/read/2024/12/19/06295121/prabowo-dan-presiden-mesir-serukan-gencatan-senjata-di-palestina-dorong
2024-12-18 21:00:00,Tito Hilmawan Reditya,Kompas.com,"Warga Palestina Gugat AS atas Pendanaan Israel , AS mendanai israel, AS melanggar HAM danai Israel",Warga Palestina Gugat AS atas Pendanaan Israel  - Kompas.com,400,Standard,http://www.kompas.com/global/read/2024/12/18/210000870/warga-palestina-gugat-as-atas-pendanaan-israel-
2024-12-18 15:19:40,Sandro Gatra,Kompas.com,"Palestina, Israel , Dataran Tinggi Golan, suriah",Menakar Pergantian Rezim di Suriah - Kompas.com,591,Kolom,http://www.kompas.com/global/read/2024/12/18/151940570/menakar-pergantian-rezim-di-suriah
2024-12-17 15:54:55,Bagus Santosa,Kompas.com,"Pemberdayaan UMKM , dukungan Palestina, KTT D8, Airlangga Hartarto","Hadiri KTT D-8 di Mesir, Prabowo Akan Bicarakan Dukungan untuk Palestina - Kompas.com",245,Standard,http://nasional.kompas.com/read/2024/12/17/15545581/hadiri-ktt-d-8-di-mesir-prabowo-akan-bicarakan-dukungan-untuk-palestina
