article_link,date_time,article_title
https://video.kompas.com/watch/1529293/israel-perang-internal-jubir-idf-sebut-hamas-tak-bisa-dilenyapkan-tapi-pemerintah-membantahnya,"20/06/2024, 16:00 WIB","Israel Perang Internal, Jubir IDF Sebut Hamas Tak Bisa Dilenyapkan tapi Pemerintah Membantahnya"
http://internasional.kompas.com/read/2024/06/20/105652070/sejarah-kekuatan-peran-dan-pengaruh-kelompok-hezbollah,"20/06/2024, 10:56 WIB","Sejarah, Kekuatan, Peran, dan Pengaruh Kelompok Hezbollah"
https://video.kompas.com/watch/1527106/siapa-saja-pemasok-senjata-israel-ternyata-amerika-serikat-tidak-sendirian,"19/06/2024, 18:18 WIB",Siapa Saja Pemasok Senjata Israel? Ternyata Amerika Serikat Tidak Sendirian!
https://video.kompas.com/watch/1527103/diguncang-protes-netanyahu-tegaskan-tak-akan-ada-perang-saudara-di-israel,"19/06/2024, 18:12 WIB","Diguncang Protes, Netanyahu Tegaskan Tak Akan Ada Perang Saudara di Israel"
https://video.kompas.com/watch/1526922/netanyahu-diserang-orang-terdekatnya-kabinet-perang-bubar-as-pergi-warga-israel-demo,"19/06/2024, 17:16 WIB","Netanyahu ""Diserang"" Orang Terdekatnya: Kabinet Perang Bubar, AS Pergi, Warga Israel Demo"
http://internasional.kompas.com/read/2024/06/19/163646270/warga-gaza-terpaksa-hidup-berdampingan-dengan-sampah-dan-hewan,"19/06/2024, 16:36 WIB",Warga Gaza Terpaksa Hidup Berdampingan dengan Sampah dan Hewan Pengerat
http://www.kompas.com/cekfakta/read/2024/06/19/162915882/klarifikasi-rumah-lansia-palestina-dirampas-warga-israel-tetapi-asal,"19/06/2024, 16:29 WIB","[KLARIFIKASI] Rumah Lansia Palestina Dirampas Warga Israel, tetapi Asal Perampas Tidak Diketahui"
http://www.kompas.com/cekfakta/read/2024/06/19/142315782/hoaks-warga-palestina-menyiksa-keledai-yang-dicat-bendera-israel,"19/06/2024, 14:23 WIB",[HOAKS] Warga Palestina Menyiksa Keledai yang Dicat Bendera Israel
http://biz.kompas.com/read/2024/06/19/142013128/komunitas-jazz-indonesia-gelar-konser-amal-dan-musikalisasi-puisi-untuk-bantu,"19/06/2024, 14:20 WIB",Komunitas Jazz Indonesia Gelar Konser Amal dan Musikalisasi Puisi untuk Bantu Anak-Anak Palestina
https://video.kompas.com/watch/1526072/hamas-klaim-kemenangan-usai-kabinet-perang-israel-bubar,"19/06/2024, 12:42 WIB",Hamas Klaim Kemenangan Usai Kabinet Perang Israel Bubar
https://video.kompas.com/watch/1525926/serangan-udara-israel-di-jalur-gaza-17-warga-jadi-korban,"19/06/2024, 12:13 WIB","Serangan Udara Israel di Jalur Gaza, 17 Warga jadi Korban"
https://video.kompas.com/watch/1525423/hamas-nyatakan-kemenangan-usai-kabinet-perang-israel-bubar,"19/06/2024, 08:20 WIB",Hamas Nyatakan Kemenangan Usai Kabinet Perang Israel Bubar
https://video.kompas.com/watch/1525386/reaksi-as-usai-netanyahu-bubarkan-kabinet-perang-israel,"19/06/2024, 07:09 WIB",Reaksi AS Usai Netanyahu Bubarkan Kabinet Perang Israel
https://video.kompas.com/watch/1525382/israel-serang-kamp-pengungsi-nuseirat-gaza-ada-suara-ledakan-sangat-dahsyat,"19/06/2024, 07:01 WIB","Israel Serang Kamp Pengungsi Nuseirat Gaza ""Ada Suara Ledakan Sangat Dahsyat"""
https://video.kompas.com/watch/1524923/netanyahu-bubarkan-kabinet-perang-israel-apa-dampaknya,"18/06/2024, 20:20 WIB","Netanyahu Bubarkan Kabinet Perang Israel, Apa Dampaknya?"
https://video.kompas.com/watch/1524920/dk-pbb-setujui-resolusi-gencatan-senjata-palestina-israel,"18/06/2024, 20:04 WIB",DK PBB Setujui Resolusi Gencatan Senjata Palestina-Israel
https://video.kompas.com/watch/1524890/serangan-israel-tewaskan-17-warga-palestina-di-rafah-gaza-usai-netanyahu-bubarkan-kabinet-perang,"18/06/2024, 19:37 WIB",Serangan Israel Tewaskan 17 Warga Palestina di Rafah Gaza usai Netanyahu Bubarkan Kabinet Perang
http://www.kompas.com/cekfakta/read/2024/06/18/193000082/dukungan-che-guevara-terhadap-pembebasan-palestina-,"18/06/2024, 19:30 WIB",Dukungan Che Guevara terhadap Pembebasan Palestina...
https://video.kompas.com/watch/1524754/israel-tetap-lanjutkan-serangan-ke-gaza-meski-netanyahu-telah-bubarkan-kabinet-perang,"18/06/2024, 19:03 WIB",Israel Tetap Lanjutkan Serangan ke Gaza meski Netanyahu telah Bubarkan Kabinet Perang
http://www.kompas.com/cekfakta/read/2024/06/18/181900782/-hoaks-suporter-di-spanyol-dipukuli-polisi-karena-dukung-palestina,"18/06/2024, 18:19 WIB",[HOAKS] Suporter di Spanyol Dipukuli Polisi karena Dukung Palestina
