content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
2024-10-02 08:34:45,Ardito Ramadhan,Kompas.com,"Iran, Israel, Lebanon, Palestina, Kementerian Luar Negeri, Dewan Keamanan PBB, Timur Tengah","Timur Tengah Memanas, Indonesia Minta Dewan Keamanan PBB Turun Tangan - Kompas.com",396,Standard,http://nasional.kompas.com/read/2024/10/02/08344571/timur-tengah-memanas-indonesia-minta-dewan-keamanan-pbb-turun-tangan
"2 Oktober 2024, 05:30 WIB",Dariz Kartika,Kompas.com,unknown,"Israel Serang Kamp Pengungsi Palestina di Lebanon, Tewaskan Keluarga Terkemuka Pejuang Palestina",unknown,Video,https://video.kompas.com/watch/1718331/israel-serang-kamp-pengungsi-palestina-di-lebanon-tewaskan-keluarga-terkemuka-pejuang-palestina
"1 Oktober 2024, 21:21 WIB",unknown,Kompas.com,unknown,"Israel Mulai Serangan Darat ke Lebanon, Sasaran Meluas, Hizbullah ""Panas""",unknown,Video,https://video.kompas.com/watch/1718023/israel-mulai-serangan-darat-ke-lebanon-sasaran-meluas-hizbullah-panas
"1 Oktober 2024, 20:54 WIB",Wiyudha Betha Dinaragis,Kompas.com,unknown,"Menhan Israel Kumpulkan Komandan Angkatan Darat, Koordinasi Perang dengan Hizbullah?",unknown,Video,https://video.kompas.com/watch/1718018/menhan-israel-kumpulkan-komandan-angkatan-darat-koordinasi-perang-dengan-hizbullah
"1 Oktober 2024, 18:56 WIB",Wiyudha Betha Dinaragis,Kompas.com,unknown,Perang Besar Dimulai! Israel Kerahkan Pasukan Darat Serbu Hizbullah di Lebanon Selatan,unknown,Video,https://video.kompas.com/watch/1717840/perang-besar-dimulai-israel-kerahkan-pasukan-darat-serbu-hizbullah-di-lebanon-selatan
2024-10-01 18:36:00,Bayu Galih,Kompas.com,"Palestina, hoaks, cek fakta, Putra Mahkota Arab Saudi",[HOAKS] Pemerintah Arab Saudi Larang Doa untuk Palestina - Kompas.com,443,Standard,http://www.kompas.com/cekfakta/read/2024/10/01/183600182/-hoaks-pemerintah-arab-saudi-larang-doa-untuk-palestina
"1 Oktober 2024, 17:17 WIB",unknown,Kompas.com,unknown,"AS dan Barat Tak Berdaya, Israel Tak Terkontrol",unknown,Video,https://video.kompas.com/watch/1717581/as-dan-barat-tak-berdaya-israel-tak-terkontrol
"30 September 2024, 21:58 WIB",Wiyudha Betha Dinaragis,Kompas.com,unknown,Iran Tegaskan Tak Sedang Mencari Perang.,unknown,Video,https://video.kompas.com/watch/1716313/iran-tegaskan-tak-sedang-mencari-perang
"30 September 2024, 20:39 WIB",Wiyudha Betha Dinaragis,Kompas.com,unknown,Wakil Pemimpin Hizbullah Janji Tetap Berjuang Lawan Israel Setelah Kematian Nasrallah,unknown,Video,https://video.kompas.com/watch/1716192/wakil-pemimpin-hizbullah-janji-tetap-berjuang-lawan-israel-setelah-kematian-nasrallah
"30 September 2024, 17:45 WIB",unknown,Kompas.com,unknown,"Pertama Kali Israel Serang Pusat Beirut, 3 Pemimpin Palestina Tewas",unknown,Video,https://video.kompas.com/watch/1715860/pertama-kali-israel-serang-pusat-beirut-3-pemimpin-palestina-tewas
"30 September 2024, 17:00 WIB",unknown,Kompas.com,unknown,Sekitar 17.000 Anak Palestina Meninggal Akibat Serangan Israel di Gaza,unknown,Video,https://video.kompas.com/watch/1715730/sekitar-17000-anak-palestina-meninggal-akibat-serangan-israel-di-gaza
"30 September 2024, 16:56 WIB",unknown,Kompas.com,unknown,Alasan Israel Terlihat Leluasa Menyerang Lebanon hingga Bunuh Pimpinan Hizbullah,unknown,Video,https://video.kompas.com/watch/1715724/alasan-israel-terlihat-leluasa-menyerang-lebanon-hingga-bunuh-pimpinan-hizbullah
"30 September 2024, 15:19 WIB",unknown,Kompas.com,unknown,Penampakan Hancurnya Jantung Kota Beirut Setelah Diserang Israel,unknown,Video,https://video.kompas.com/watch/1715447/penampakan-hancurnya-jantung-kota-beirut-setelah-diserang-israel
2024-09-30 15:08:50,Ihsanuddin,Kompas.com,"Menlu Retno Marsudi, Retno Marsudi, Sidang Umum PBB, retno marsudi pbb, retno marsudi palestina",Menlu Perempuan RI Pertama Itu Pamit di Hadapan Sidang Umum PBB... - Kompas.com,757,Standard,http://nasional.kompas.com/read/2024/09/30/15085041/menlu-perempuan-ri-pertama-itu-pamit-di-hadapan-sidang-umum-pbb
"30 September 2024, 13:40 WIB",unknown,Kompas.com,unknown,[FULL] Pidato Menlu Retno Marsudi Bela Palestina dan Tekan Netanyahu,unknown,Video,https://video.kompas.com/watch/1715231/full-pidato-menlu-retno-marsudi-bela-palestina-dan-tekan-netanyahu
