content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
"21 November 2023, 13:20 WIB",unknown,Kompas.com,unknown,"RS Indonesia di Gaza Dibom Israel, Mahfud: Pemerintah Kutuk Keras",unknown,Video,https://video.kompas.com/watch/1042961/rs-indonesia-di-gaza-dibom-israel-mahfud-pemerintah-kutuk-keras
2023-11-21 13:00:00,Hilda B Alexander,Kompas.com,"Palestina, Grab Indonesia, SDG16-Perdamaian, Keadilan dan Kelembagaan yang Tangguh, doa bersama",Ribuan Driver Grab di Puluhan Kota Gelar Doa Bersama untuk Palestina - Kompas.com,362,Standard,http://lestari.kompas.com/read/2023/11/21/130000786/ribuan-driver-grab-di-puluhan-kota-gelar-doa-bersama-untuk-palestina
"21 November 2023, 12:52 WIB",unknown,Kompas.com,unknown,Menlu Retno Marsudi Murka RS Indonesia di Gaza Dikepung Israel,unknown,Video,https://video.kompas.com/watch/1042938/menlu-retno-marsudi-murka-rs-indonesia-di-gaza-dikepung-israel
"21 November 2023, 12:41 WIB",Musayadah Khusnul Khotimah,Kompas.com,unknown,Palestina: Lebih dari 3.000 Murid Tewas Dalam Serangan Israel,unknown,Video,https://video.kompas.com/watch/1042934/palestina-lebih-dari-3000-murid-tewas-dalam-serangan-israel
"21 November 2023, 11:47 WIB",unknown,Kompas.com,unknown,"Detik-detik Houthi Bajak Kapal Pengusaha Israel, Heli Mendarat Pasukan Gerak Cepat",unknown,Video,https://video.kompas.com/watch/1042764/detik-detik-houthi-bajak-kapal-pengusaha-israel-heli-mendarat-pasukan-gerak-cepat
"21 November 2023, 11:28 WIB",Bernadetha Nadia Deni Ananda,Kompas.com,unknown,"China Telepon Perancis, Berunding Cari Solusi Damaikan Israel-Palestina",unknown,Video,https://video.kompas.com/watch/1042615/china-telepon-perancis-berunding-cari-solusi-damaikan-israel-palestina
"21 November 2023, 10:53 WIB",unknown,Kompas.com,unknown,"Tentara Israel Masuk Masjid di Gaza Pakai Sepatu, Temukan Terowongan dan Senjata Hamas",unknown,Video,https://video.kompas.com/watch/1042569/tentara-israel-masuk-masjid-di-gaza-pakai-sepatu-temukan-terowongan-dan-senjata-hamas
"21 November 2023, 10:40 WIB",unknown,Kompas.com,unknown,"Israel Gempur RS Indonesia di Gaza, Nasib 3 Relawan Tanah Air Jadi Tanda Tanya",unknown,Video,https://video.kompas.com/watch/1042564/israel-gempur-rs-indonesia-di-gaza-nasib-3-relawan-tanah-air-jadi-tanda-tanya
2023-11-21 09:56:51,Novianti Setuningsih,Kompas.com,"Palestina, Menlu Retno Marsudi, DK PBB, OKI, Gaza, perang israel hamas, Retno Marsudi, perang hamas israel",Menlu Retno Bareng OKI Galang Dukungan untuk Gencatan Senjata di Gaza - Kompas.com,287,Standard,http://nasional.kompas.com/read/2023/11/21/09565101/menlu-retno-bareng-oki-galang-dukungan-untuk-gencatan-senjata-di-gaza
2023-11-21 09:40:21,Mikhael Gewati,Kompas.com,"pemkot tangsel, Tangsel Bersholawat, Pemkot Tangsel gelar doa bersama, HUT Ke-15 Tangsel","DIhadiri Habib Syech bin Abdul Qodir Assegaf, Tangsel Bersholawat Kirimkan Doa untuk Rakyat Palestina - Kompas.com",247,Standard,http://regional.kompas.com/read/2023/11/21/094021478/dihadiri-habib-syech-bin-abdul-qodir-assegaf-tangsel-bersholawat-kirimkan
