content_PublishedDate,content_editor,content_site,content_tags,content_title,content_total_words,content_type,url
"8 Oktober 2023, 15:30 WIB",Firda Rahmawan,Kompas.com,unknown,"Hamas Serang Israel, Prabowo Langsung Gelar Rapat Terbatas",unknown,Video,https://video.kompas.com/watch/937041/palestina-serang-israel-gerindra-sebut-prabowo-langsung-gelar-rapat-terbatas
2023-10-08 15:30:00,Sari Hardiyanto,Kompas.com,"Israel, Palestina, Jalur Gaza, roket hamas, konflik israel dan hamas, konflik israel palestina, serangan Hamas ke Israel",Lini Masa Perseteruan Israel Vs Hamas di Gaza - Kompas.com,664,Standard,http://www.kompas.com/tren/read/2023/10/08/153000465/lini-masa-perseteruan-israel-vs-hamas-di-gaza
2023-10-08 14:53:13,Dani Prabowo,Kompas.com,"Israel, Palestina, Jalur Gaza, Hamas, kemlu",Indonesia Prihatin Atas Eskalasi Konflik Palestina-Israel di Jalur Gaza - Kompas.com,219,Standard,http://nasional.kompas.com/read/2023/10/08/14531331/indonesia-prihatin-atas-eskalasi-konflik-palestina-israel-di-jalur-gaza
2023-10-08 14:30:00,Rizal Setyo Nugroho,Kompas.com,"Israel, Palestina, Gaza, RS Indonesia di Jalur Gaza, RS Indonesia di Palestina, RS Indonesia di Palestina terkena serangan Israel","RS Indonesia di Gaza Terkena Serangan Israel, Bagaimana Kondisinya? - Kompas.com",614,Standard,http://www.kompas.com/tren/read/2023/10/08/143000865/rs-indonesia-di-gaza-terkena-serangan-israel-bagaimana-kondisinya-
2023-10-08 14:26:22,Novianti Setuningsih,Kompas.com,"Prabowo, Gaza, israel serang gaza, perang israel palestina, perang israel dan hamas, israel serang hamas, Jalur Gaza, Hamas serang Israel",Prabowo Disebut Pimpin Rapat Kabinet Terbatas Buntut Memanasnya Lagi Israel-Hamas - Kompas.com,507,Standard,http://nasional.kompas.com/read/2023/10/08/14262291/prabowo-disebut-pimpin-rapat-kabinet-terbatas-buntut-memanasnya-lagi-israel
2023-10-08 13:34:46,Sari Hardiyanto,Kompas.com,"Israel, Palestina, roket hamas, konflik palestina israel, konflik Palestina dan Israel, serangan Hamas ke Israel","""Operasi Badai Al-Aqsa"", Mengapa Hamas Luncurkan Serangan Besar-besaran secara Mengejutkan? - Kompas.com",435,Standard,http://www.kompas.com/tren/read/2023/10/08/133446665/operasi-badai-al-aqsa-mengapa-hamas-luncurkan-serangan-besar-besaran-secara
2023-10-08 13:15:00,Sari Hardiyanto,Kompas.com,"konflik israel palestina, reaksi dunia terhadap serangan hamas ke israel, tanggapan dunia terhadap serangan hamas ke israel, hamas serang israel, konflik hamas dan israel, hamas","Reaksi Dunia terhadap Serangan Hamas ke Israel, Apa Saja? - Kompas.com",1500,Standard,http://www.kompas.com/tren/read/2023/10/08/131500265/reaksi-dunia-terhadap-serangan-hamas-ke-israel-apa-saja-
2023-10-08 12:43:59,Novianti Setuningsih,Kompas.com,"MER-C, israel serang gaza, israel serang hamas, RS Indonesia di Jalur Gaza, RS Indonesia di Jalur Gaza terkena serangan, Israel serang Jalur Gaza, RS Indonesia di Palestina terkena serangan Israel",MER-C Sebut 1 Staf Lokal Tewas karena Serangan Israel ke Gaza yang Turut Mengenai RS Indonesia - Kompas.com,327,Standard,http://nasional.kompas.com/read/2023/10/08/12435901/mer-c-sebut-1-staf-lokal-tewas-karena-serangan-israel-ke-gaza-yang-turut
"8 Oktober 2023, 12:40 WIB",Anneke Sherina Ramadhani,Kompas.com,unknown,"Israel Balas Serang Jalur Gaza, 232 Warga Palestina Tewas",unknown,Video,https://video.kompas.com/watch/936775/israel-balas-serang-jalur-gaza-232-warga-palestina-tewas
2023-10-08 11:14:00,Irawan Sapto Adhi,Kompas.com,"Hamas, konflik Israel-Palestina, garis waktu konflik Israel-Palestina",Garis Waktu Konflik Israel-Palestina di Gaza sejak 2005 - Kompas.com,725,Standard,http://www.kompas.com/global/read/2023/10/08/111400470/garis-waktu-konflik-israel-palestina-di-gaza-sejak-2005
