article_link,article_title
https://www.cnbcindonesia.com/news/20230921054758-4-474256/pangeran-mbs-sebut-perdamaian-arab-saudi-israel-di-depan-mata,Pangeran MBS Sebut Perdamaian Arab Saudi-Israel di Depan Mata
https://www.cnbcindonesia.com/lifestyle/20230920154302-33-474117/israel-marah-unesco-rilis-daftar-warisan-dunia-ada-apa,"Israel Marah UNESCO Rilis Daftar Warisan Dunia, Ada Apa?"
https://www.cnbcindonesia.com/news/20230901195652-4-468353/arab-saudi-mesra-dengan-israel-bagaimana-nasib-palestina,"Arab Saudi Mesra dengan Israel, Bagaimana Nasib Palestina?"
https://www.cnbcindonesia.com/news/20230827064521-4-466399/terbongkar-warga-muslim-ramai-daftar-jadi-tentara-israel,Terbongkar! Warga Muslim Ramai Daftar Jadi Tentara Israel
https://www.cnbcindonesia.com/news/20230824080616-7-465664/cuaca-neraka-makan-korban-baru-petani-anggur-gaza,Cuaca 'Neraka' Makan Korban Baru: Petani Anggur Gaza
https://www.cnbcindonesia.com/lifestyle/20230821181030-34-464792/penampakan-kafe-kucing-pertama-di-jalur-gaza-palestina,Penampakan Kafe Kucing Pertama di Jalur Gaza Palestina
https://www.cnbcindonesia.com/news/20230821151839-4-464715/terkuak-israel-intervensi-pengadilan-inggris-soal-palestina,Terkuak! Israel Intervensi Pengadilan Inggris soal Palestina
https://www.cnbcindonesia.com/news/20230815175628-4-463240/israel-minggir-raja-salman-resmi-tunjuk-dubes-di-palestina,Israel Minggir! Raja Salman Resmi Tunjuk Dubes di Palestina
https://www.cnbcindonesia.com/news/20230814110559-4-462691/israel-beri-pesan-menohok-untuk-raja-salman-ada-apa,"Israel Beri Pesan Menohok untuk Raja Salman, Ada Apa?"
https://www.cnbcindonesia.com/news/20230805152353-4-460467/ramai-warga-palestina-malah-jadi-tentara-israel-kok-bisa,"Ramai Warga Palestina Malah Jadi Tentara Israel, Kok Bisa?"
https://www.cnbcindonesia.com/news/20230730182304-7-458518/arkeolog-palestina-temukan-125-makam-romawi-kuno-di-gaza,Arkeolog Palestina Temukan 125 Makam Romawi Kuno di Gaza
https://www.cnbcindonesia.com/news/20230723152054-8-456553/video-cuaca-panas-mendidih-perburuk-krisis-listrik-di-gaza,Video: Cuaca Panas Mendidih Perburuk Krisis Listrik di Gaza
https://www.cnbcindonesia.com/news/20230717065435-4-454796/tolong-gaza-palestina-terancam-bangkrut-warga-teriak,"Tolong! Gaza Palestina Terancam Bangkrut, Warga Teriak"
https://www.cnbcindonesia.com/news/20230710052511-4-452652/israel-tiba-tiba-dukung-pemerintahan-palestina-ada-apa,"Israel Tiba-Tiba 'Dukung' Pemerintahan Palestina, Ada Apa?"
https://www.cnbcindonesia.com/news/20230706120354-4-451864/fakta-brigade-jenin-pejuang-palestina-paling-ditakuti-israel,"Fakta Brigade Jenin, Pejuang Palestina Paling Ditakuti Israel"
https://www.cnbcindonesia.com/news/20230705173353-7-451658/pilu-melihat-jenin-palestina-hancur-lebur-diserang-israel,"Pilu, Melihat Jenin Palestina Hancur Lebur Diserang Israel"
https://www.cnbcindonesia.com/news/20230705191018-8-451694/israel-luluhlantakkan-jenin-palestina,Israel Luluhlantakkan Jenin Palestina
https://www.cnbcindonesia.com/news/20230705054930-4-451359/ada-apa-israel-kenapa-kamp-pengungsi-jenin-diserang-brutal,"Ada Apa Israel, Kenapa Kamp Pengungsi Jenin Diserang Brutal?"
https://www.cnbcindonesia.com/news/20230704093524-7-451000/pilu-potret-warga-jenin-mengungsi-dibombardir-israel,"Pilu, Potret Warga Jenin Mengungsi Dibombardir Israel"
https://www.cnbcindonesia.com/news/20230704145925-4-451181/china-siap-jadi-juru-damai-israel-palestina-begini-caranya,"China Siap Jadi Juru Damai Israel-Palestina, Begini Caranya"
https://www.cnbcindonesia.com/news/20230704113246-8-451057/israel-menggila-di-jenin-korban-jiwa-palestina-bertambah,"Israel Menggila di Jenin, Korban Jiwa Palestina Bertambah"
https://www.cnbcindonesia.com/news/20230704110107-4-451041/jenin-membara-dibombardir-israel-3000-warga-palestina-pergi,"Jenin Membara Dibombardir Israel, 3000 Warga Palestina Pergi"
https://www.cnbcindonesia.com/news/20230703162543-7-450819/potret-serangan-israel-di-jenin-8-warga-palestina-tewas,"Potret Serangan Israel di Jenin, 8 Warga Palestina Tewas"
https://www.cnbcindonesia.com/news/20230703183924-8-450863/israel-menggila-di-jenin-korban-jiwa-palestina-bertambah,"Israel Menggila di Jenin, Korban Jiwa Palestina Bertambah"
https://www.cnbcindonesia.com/news/20230703151044-4-450783/israel-menggila-di-jenin-korban-jiwa-palestina-bertambah,"Israel Menggila di Jenin, Korban Jiwa Palestina Bertambah"
