article_link,date_time,article_title
https://news.detik.com/pemilu/d-7028917/cak-imin-dan-para-kiai-nu-deklarasi-komite-palestina-desak-gencatan-senjata,10 Nov 2023 10:12 WIB,"Cak Imin dan Para Kiai NU Deklarasi Komite Palestina, Desak Gencatan Senjata"
https://news.detik.com/foto-news/d-7028214/tangis-pilu-orang-tua-di-gaza-lihat-anaknya-jadi-korban-serangan-israel,10 Nov 2023 10:00 WIB,Tangis Pilu Orang Tua di Gaza Lihat Anaknya Jadi Korban Serangan Israel
https://news.detik.com/internasional/d-7028739/area-sekitar-rs-indonesia-di-gaza-digempur-11-rudal-israel,10 Nov 2023 07:44 WIB,Area Sekitar RS Indonesia di Gaza Digempur 11 Rudal Israel!
https://oto.detik.com/profil/d-7028732/motor-omesh-untuk-donasi-palestina-laku-rp-300-juta-siapa-yang-beli,10 Nov 2023 07:29 WIB,"Motor Omesh untuk Donasi Palestina Laku Rp 300 Juta, Siapa yang Beli?"
https://news.detik.com/detiktv/d-7028705/komunitas-kristen-yerusalem-gelar-doa-untuk-korban-serangan-israel,10 Nov 2023 06:34 WIB,Komunitas Kristen Yerusalem Gelar Doa untuk Korban Serangan Israel
https://news.detik.com/internasional/d-7028689/seruan-pilu-anak-gaza-ingin-hidup-normal-selayaknya-anak-anak-lainnya,10 Nov 2023 05:51 WIB,Seruan Pilu Anak Gaza Ingin Hidup Normal Selayaknya Anak-anak Lainnya
https://news.detik.com/detiktv/d-7028687/macron-undang-pm-palestina-hingga-ceo-tiktok-makan-malam,10 Nov 2023 05:50 WIB,Macron Undang PM Palestina hingga CEO TikTok Makan Malam
https://news.detik.com/internasional/d-7028659/as-sebut-israel-setuju-beri-jeda-4-jam-sehari-tak-serang-gaza,10 Nov 2023 05:03 WIB,AS Sebut Israel Setuju Beri Jeda 4 Jam Sehari Tak Serang Gaza
https://news.detik.com/internasional/d-7028653/hamas-sebut-tentara-israel-yang-disandera-tewas-gegara-serangan-udara-israel,10 Nov 2023 03:16 WIB,Hamas Sebut Tentara Israel yang Disandera Tewas gegara Serangan Udara Israel
https://news.detik.com/berita/d-7028637/2-skuter-tua-milik-jubir-prabowo-yang-dilelang-untuk-palestina-laku,10 Nov 2023 00:15 WIB,2 Skuter Tua Milik Jubir Prabowo yang Dilelang untuk Palestina Laku
https://www.detik.com/jatim/berita/d-7028602/dapat-mandat-dari-komite-palestina-cak-imin-siap-jembatani-perdamaian,09 Nov 2023 23:32 WIB,"Dapat Mandat dari Komite Palestina, Cak Imin Siap Jembatani Perdamaian"
https://news.detik.com/detiktv/d-7028559/pm-palestina-israel-bukan-perangi-hamas-tapi-rakyat-palestina,09 Nov 2023 22:31 WIB,"PM Palestina: Israel Bukan Perangi Hamas, Tapi Rakyat Palestina"
https://news.detik.com/internasional/d-7028532/nestapa-puluhan-ribu-warga-gaza-mengungsi-saat-perang-belum-berhenti,09 Nov 2023 21:59 WIB,Nestapa Puluhan Ribu Warga Gaza Mengungsi saat Perang Belum Berhenti
https://travel.detik.com/travel-news/d-7027762/bandara-el-arish-nan-sederhana-gerbang-vital-bantuan-ke-gaza,09 Nov 2023 19:05 WIB,"Bandara El Arish nan Sederhana, Gerbang Vital Bantuan ke Gaza"
