article_link,date_time,article_title
https://video.kompas.com/watch/1604316/hamas-fatah-bersatu-di-china-serukan-persatuan-palestina-di-tengah-gempuran-serangan-israel,"24/07/2024, 05:30 WIB","Hamas-Fatah Bersatu di China, Serukan Persatuan Palestina di Tengah Gempuran Serangan Israel"
https://video.kompas.com/watch/1604192/agenda-politik-di-balik-perdamaian-hamas-fatah-yang-difasilitasi-china,"23/07/2024, 22:55 WIB",Agenda Politik di Balik Perdamaian Hamas-Fatah yang Difasilitasi China
https://video.kompas.com/watch/1604190/drone-israel-serang-tepi-barat-palestina-diklaim-tewaskan-anggota-hamas,"23/07/2024, 22:49 WIB","Drone Israel Serang Tepi Barat Palestina, Diklaim Tewaskan Anggota Hamas"
https://video.kompas.com/watch/1604186/perbedaan-hamas-dan-fatah-dalam-konflik-israel-palestina,"23/07/2024, 22:38 WIB",Perbedaan Hamas dan Fatah dalam Konflik Israel-Palestina
https://video.kompas.com/watch/1604095/dinilai-sebagai-ancaman-israel-kecam-deklarasi-beijing-soal-perdamaian-hamas-fatah,"23/07/2024, 21:47 WIB","Dinilai sebagai Ancaman, Israel Kecam Deklarasi Beijing soal Perdamaian Hamas-Fatah"
https://video.kompas.com/watch/1603951/hamas-fatah-sepakat-damai-di-beijing-sekjen-palestina-china-memiliki-peran-penting,"23/07/2024, 20:45 WIB","Hamas-Fatah Sepakat Damai di Beijing, Sekjen Palestina: China Memiliki Peran Penting"
https://video.kompas.com/watch/1603875/netanyahu-takut-kehilangan-biden,"23/07/2024, 20:29 WIB","Netanyahu Takut ""Kehilangan"" Biden"
https://video.kompas.com/watch/1603840/perdamaian-hamas-fatah-di-china-harapan-bagi-rakyat-palestina,"23/07/2024, 20:16 WIB","Perdamaian Hamas-Fatah di China, Harapan bagi Rakyat Palestina"
http://nasional.kompas.com/read/2024/07/23/19593881/dubes-palestina-hamas-dan-fatah-sudah-sepakat-ini-menguntungkan-kami,"23/07/2024, 19:59 WIB","Dubes Palestina: Hamas dan Fatah Sudah Sepakat, Ini Menguntungkan Kami"
https://video.kompas.com/watch/1603731/serangan-baru-israel-di-khan-younis-gaza-tewaskan-90-warga-palestina,"23/07/2024, 19:29 WIB","Serangan Baru Israel di Khan Younis Gaza, Tewaskan 90 Warga Palestina"
http://nasional.kompas.com/read/2024/07/23/19063831/soal-situasi-terkini-gaza-dubes-palestina-tak-ada-tempat-aman-bahkan-di-tepi,"23/07/2024, 19:06 WIB","Soal Situasi Terkini Gaza, Dubes Palestina: Tak Ada Tempat Aman, Bahkan di Tepi Barat"
http://www.kompas.com/global/read/2024/07/23/183754070/peran-china-di-konflik-palestina-hingga-damaikan-hamas-fatah,"23/07/2024, 18:37 WIB",Peran China di Konflik Palestina hingga Damaikan Hamas-Fatah
https://video.kompas.com/watch/1603222/hamas-dan-fatah-palestina-sepakat-berdamai-usai-difasilitasi-china,"23/07/2024, 15:59 WIB",Hamas dan Fatah Palestina Sepakat Berdamai Usai Difasilitasi China
http://www.kompas.com/global/read/2024/07/23/145445770/hamas-fatah-palestina-sepakat-berdamai-usai-difasilitasi-china-apa-agenda,"23/07/2024, 14:54 WIB","Hamas-Fatah Palestina Sepakat Berdamai Usai Difasilitasi China, Apa Agenda Politik Mereka?"
https://video.kompas.com/watch/1602720/militer-israel-usir-warga-dari-muwasi-gaza-pengungsi-kami-tak-tahu-harus-ke-mana,"23/07/2024, 13:06 WIB","Militer Israel Usir Warga dari Muwasi Gaza, Pengungsi: Kami Tak Tahu Harus ke Mana"
https://video.kompas.com/watch/1602545/70-orang-tewas-usai-israel-perintahkan-evakuasi-di-khan-younis-gaza,"23/07/2024, 12:00 WIB",70 Orang Tewas Usai Israel Perintahkan Evakuasi di Khan Younis Gaza
https://video.kompas.com/watch/1602307/sebut-as-tak-punya-kredibilitas-warga-gaza-cuek-biden-mundur-dari-pilpres,"23/07/2024, 10:24 WIB","Sebut AS Tak Punya Kredibilitas, Warga Gaza Cuek Biden Mundur dari Pilpres"
https://video.kompas.com/watch/1602284/dukung-icj-china-pendudukan-israel-di-palestina-melanggar-hukum,"23/07/2024, 09:48 WIB","Dukung ICJ, China: Pendudukan Israel di Palestina Melanggar Hukum!"
https://video.kompas.com/watch/1602168/israel-usir-warga-dari-muwasi-gaza-pengungsi-bingung-harus-ke-mana,"23/07/2024, 08:46 WIB","Israel Usir Warga dari Muwasi Gaza, Pengungsi Bingung Harus ke Mana"
https://video.kompas.com/watch/1602110/harus-pakai-izin-israel-menlu-retno-berkali-kali-gagal-masuk-palestina,"23/07/2024, 08:22 WIB","Harus Pakai Izin Israel, Menlu Retno Berkali-kali Gagal Masuk Palestina"
http://www.kompas.com/global/read/2024/07/23/074931270/70-orang-tewas-usai-israel-perintahkan-evakuasi-di-khan-younis,"23/07/2024, 07:49 WIB",70 Orang Tewas Usai Israel Perintahkan Evakuasi di Khan Younis
https://video.kompas.com/watch/1602033/israel-usir-ribuan-warga-gaza-palestina-usai-tembakan-serangan-roket-ke-khan-younis,"23/07/2024, 05:30 WIB",Israel Usir Ribuan Warga Gaza Palestina Usai Tembakan Serangan Roket ke Khan Younis
https://video.kompas.com/watch/1601911/houthi-bersumpah-balas-serangan-israel-ke-pelabuhan-al-hudaydah-yaman-shorts,"22/07/2024, 23:27 WIB",Houthi Bersumpah Balas Serangan Israel ke Pelabuhan Al Hudaydah Yaman #Shorts
https://video.kompas.com/watch/1601793/usai-usir-pengungsi-israel-serang-desa-qizan-an-najjar-di-khan-younis,"22/07/2024, 22:14 WIB","Usai Usir Pengungsi, Israel Serang Desa Qizan An Najjar di Khan Younis"
http://nasional.kompas.com/read/2024/07/22/20224511/menlu-berkali-kali-coba-kunjungi-palestina-tapi-selalu-dihalangi-israel,"22/07/2024, 20:22 WIB","Menlu Berkali-kali Coba Kunjungi Palestina, Tapi Selalu Dihalangi Israel"
https://video.kompas.com/watch/1601562/serangan-udara-dan-tank-israel-di-tengah-perintah-evakuasi-tewaskan-26-orang,"22/07/2024, 20:07 WIB",Serangan Udara dan Tank Israel di Tengah Perintah Evakuasi Tewaskan 26 Orang
https://video.kompas.com/watch/1601554/warga-yaman-tak-gentar-usai-israel-gempur-pelabuhan-hodeidah,"22/07/2024, 19:50 WIB",Warga Yaman Tak Gentar Usai Israel Gempur Pelabuhan Hodeidah
https://video.kompas.com/watch/1601545/potret-warga-palestina-terpaksa-mengungsi-lagi-usai-diusir-israel,"22/07/2024, 19:39 WIB",Potret Warga Palestina Terpaksa Mengungsi Lagi Usai Diusir Israel
https://video.kompas.com/watch/1601430/tegas-menlu-ri-sebut-israel-harus-akhiri-pendudukan-di-palestina,"22/07/2024, 19:20 WIB",Tegas! Menlu RI Sebut Israel Harus Akhiri Pendudukan di Palestina
https://video.kompas.com/watch/1601410/indonesia-belum-pertimbangkan-jadi-mediator-antara-palestina-dan-israel,"22/07/2024, 19:01 WIB",Indonesia Belum Pertimbangkan Jadi Mediator antara Palestina dan Israel
http://www.kompas.com/global/read/2024/07/22/175102870/serangan-udara-dan-tank-israel-tewaskan-26-warga-gaza,"22/07/2024, 17:51 WIB",Serangan Udara dan Tank Israel Tewaskan 26 Warga Gaza
https://video.kompas.com/watch/1601003/sekjen-pbb-khawatir-serangan-israel-ke-pelabuhan-yaman-memicu-perang-besar,"22/07/2024, 17:00 WIB",Sekjen PBB Khawatir Serangan Israel ke Pelabuhan Yaman Memicu Perang Besar
http://www.kompas.com/tren/read/2024/07/22/170000165/kamala-harris-diprediksi-lebih-berempati-terhadap-palestina-jika-menjadi,"22/07/2024, 17:00 WIB",Kamala Harris Diprediksi Lebih Berempati terhadap Palestina jika Menjadi Presiden AS
https://video.kompas.com/watch/1600991/indonesia-desak-israel-patuhi-putusan-icj-untuk-akhiri-kependudukan-atas-palestina,"22/07/2024, 16:35 WIB",Indonesia Desak Israel Patuhi Putusan ICJ untuk Akhiri Kependudukan atas Palestina
http://nasional.kompas.com/read/2024/07/22/16333421/kemenlu-putusan-icj-patahkan-klaim-israel-punya-hak-atas-wilayah-palestina,"22/07/2024, 16:33 WIB",Kemenlu: Putusan ICJ Patahkan Klaim Israel Punya Hak atas Wilayah Palestina
https://video.kompas.com/watch/1600901/israel-akan-hadiri-perundingan-gencatan-senjata-terbaru-di-qatar,"22/07/2024, 15:37 WIB",Israel Akan Hadiri Perundingan Gencatan Senjata Terbaru di Qatar
https://video.kompas.com/watch/1600827/lantang-dukung-palestina-bella-hadid-di-cancel-adidas-atas-desakan-israel,"22/07/2024, 15:28 WIB","Lantang Dukung Palestina, Bella Hadid Di-Cancel Adidas atas Desakan Israel"
http://nasional.kompas.com/read/2024/07/22/15122181/kemenlu-indonesia-belum-pertimbangkan-jadi-mediator-antara-palestina-dan,"22/07/2024, 15:12 WIB",Kemenlu: Indonesia Belum Pertimbangkan Jadi Mediator antara Palestina dan Israel
http://nasional.kompas.com/read/2024/07/22/14221431/kemenlu-ri-sebut-putusan-icj-tegaskan-israel-tak-punya-hak-apa-pun-di,"22/07/2024, 14:22 WIB",Kemenlu RI Sebut Putusan ICJ Tegaskan Israel Tak Punya Hak Apa Pun di Palestina
http://nasional.kompas.com/read/2024/07/22/14031091/dukung-putusan-mahkamah-internasional-indonesia-desak-israel-hengkang-dari,"22/07/2024, 14:03 WIB","Dukung Putusan Mahkamah Internasional, Indonesia Desak Israel Hengkang dari Palestina"
https://video.kompas.com/watch/1600592/warga-yaman-tak-gentar-usai-israel-bombardir-hodeidah-serukan-pembalasan-lebih-keras,"22/07/2024, 13:48 WIB","Warga Yaman Tak Gentar Usai Israel Bombardir Hodeidah, Serukan Pembalasan Lebih Keras"
https://video.kompas.com/watch/1600477/hassan-nasrallah-pemimpin-hizbullah-yang-terus-perangi-israel-shorts,"22/07/2024, 13:02 WIB","Hassan Nasrallah, Pemimpin Hizbullah yang Terus Perangi Israel #Shorts"
http://nasional.kompas.com/read/2024/07/22/12061391/agen-israel-diduga-hendak-pengaruhi-opini-publik-masyarakat-diminta-jaga,"22/07/2024, 12:06 WIB","Agen Israel Diduga Hendak Pengaruhi Opini Publik, Masyarakat Diminta Jaga Persatuan"
http://nasional.kompas.com/read/2024/07/22/11584811/umat-islam-indonesia-diimbau-tak-teperdaya-propaganda-agen-israel,"22/07/2024, 11:58 WIB",Umat Islam Indonesia Diimbau Tak Teperdaya Propaganda Agen Israel
http://nasional.kompas.com/read/2024/07/22/11494991/mui-minta-pemerintah-tak-berkomunikasi-dengan-israel-buat-jaga-martabat,"22/07/2024, 11:49 WIB",MUI Minta Pemerintah Tak Berkomunikasi dengan Israel buat Jaga Martabat
