article_link,date_time,article_title
https://ameera.republika.co.id/berita/s4zak6478/5-kosmetik-lokal-yang-bersertifikat-halal-mui-berizin-bpom-dan-dukung-penuh-palestina,"01 December 2023, 15:07","5 Kosmetik Lokal yang Bersertifikat Halal MUI, Berizin BPOM, dan Dukung Penuh Palestina"
https://iqra.republika.co.id/berita/s4yil0430/yahudi-ubah-isi-taurat-rahasiakan-informasi-tentang-nabi-muhammad,"01 December 2023, 05:03","Yahudi Ubah Isi Taurat, Rahasiakan Informasi tentang Nabi Muhammad?"
https://sharia.republika.co.id/berita/s4xzcb457/erick-thohir-jadi-saksi-kolaborasi-umkm-indonesia-dan-palestina-di-dubai,"30 November 2023, 22:07",Erick Thohir Jadi Saksi Kolaborasi UMKM Indonesia dan Palestina di Dubai
https://khazanah.republika.co.id/berita/s4xv4c430/raja-yordan-tegaskan-israel-harus-izinkan-lebih-banyak-bantuan-masuk-ke-gaza,"30 November 2023, 20:36",Raja Yordan Tegaskan Israel Harus Izinkan Lebih Banyak Bantuan Masuk ke Gaza
https://iqra.republika.co.id/berita/s4xu2h430/naskah-khutbah-jumat-tentang-boikot-produk-pendukung-zionis-israel,"30 November 2023, 20:13",Naskah Khutbah Jumat tentang Boikot Produk Pendukung Zionis Israel
https://internasional.republika.co.id/berita/s4xu0g370/bagaimana-israel-penjarakan-ratusan-perempuan-dan-anakanak-palestina,"30 November 2023, 20:12",Bagaimana Israel Penjarakan Ratusan Perempuan dan Anak-Anak Palestina?
https://iqra.republika.co.id/berita/s4xqtv451/bukti-allah-memberkahi-tanah-palestina-ini-ayat-dan-tafsirannya,"30 November 2023, 19:21","Bukti Allah Memberkahi Tanah Palestina, ini Ayat dan Tafsirannya"
https://ihram.republika.co.id/berita/s4xp5m430/pesawat-bantuan-arab-saudi-terbang-ke-mesir,"30 November 2023, 18:27",Pesawat Bantuan Arab Saudi Terbang ke Mesir
https://khazanah.republika.co.id/berita/s4xiin430/gandeng-baznas-bpjs-ketenagakerjaan-salurkan-bantuan-untuk-palestina,"30 November 2023, 16:03","Gandeng Baznas, BPJS Ketenagakerjaan Salurkan Bantuan untuk Palestina"
https://visual.republika.co.id/berita/s4xa15283/aktivis-perempuan-palestina-ahed-tamimi-dibebaskan-dari-penjara-zionis-israel,"30 November 2023, 13:00",Aktivis Perempuan Palestina Ahed Tamimi Dibebaskan dari Penjara Zionis Israel
