article_link,date_time,article_title
https://ekonomi.republika.co.id/berita/s3j0mn502/genosida-israel-di-palestina-bikin-ekonomi-as-ketarketir-ekonom-bisa-resesi,"03 November 2023, 09:37","Genosida Israel di Palestina Bikin Ekonomi AS Ketar-Ketir, Ekonom: Bisa Resesi"
https://tv.republika.co.id/berita/s3iwxe467/erdogan-hamas-bukan-teroris-tapi-kelompok-pembebasan,"03 November 2023, 09:10",Erdogan: Hamas Bukan Teroris Tapi Kelompok Pembebasan
https://tv.republika.co.id/berita/s3iyhh313/tangis-haru-warnai-aksi-lilin-dan-doa-bersama-di-kedubes-palestina-jakarta,"03 November 2023, 08:51",Tangis Haru Warnai Aksi Lilin dan Doa Bersama di Kedubes Palestina Jakarta
https://ekonomi.republika.co.id/berita/s3inqc502/dubes-palestina-israel-harus-diberi-sanksi-ekonomi,"03 November 2023, 05:00",Dubes Palestina: Israel Harus Diberi Sanksi Ekonomi
https://ameera.republika.co.id/berita/s3ik68478/iqbaal-ramadhan-hingga-jefri-nichol-ramairamai-bersuara-lantang-dukung-palestina,"03 November 2023, 03:42","Iqbaal Ramadhan Hingga Jefri Nichol, Ramai-Ramai Bersuara Lantang Dukung Palestina"
https://khazanah.republika.co.id/berita/s3i6nb430/hampir-10-ribu-orang-palestina-meninggal-akibat-keganasan-israel,"03 November 2023, 01:47",Hampir 10 Ribu Orang Palestina Meninggal Akibat Keganasan Israel
https://internasional.republika.co.id/berita/s3i8kb414/militer-israel-mengaku-telah-luncurkan-lebih-dari-12-ribu-serangan-udara-ke-gaza,"02 November 2023, 23:31",Militer Israel Mengaku Telah Luncurkan Lebih dari 12 Ribu Serangan Udara ke Gaza
https://genpop.republika.co.id/posts/243374/kisah-pemukiman-dekat-masjid-al-aqsa-dibangun-shalahuddin-al-ayyubi-dimusnahkan-israel,"02 November 2023, 22:34","Kisah Pemukiman Dekat Masjid Al Aqsa: Dibangun Shalahuddin Al Ayyubi, Dimusnahkan Israel"
https://khazanah.republika.co.id/berita/s3i4o8451/iha-kecam-pelanggaran-israel-terhadap-hukum-humaniter-internasional,"02 November 2023, 22:07",IHA Kecam Pelanggaran Israel Terhadap Hukum Humaniter Internasional.
https://khazanah.republika.co.id/berita/s3i4fv451/baznas-kirim-bantuan-kemanusiaan-untuk-warga-palestina,"02 November 2023, 22:02",Baznas Kirim Bantuan Kemanusiaan untuk Warga Palestina
